Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
A Nehra,2010,6,95,84,37,13,4,6.785714285714286,14.0,44.047619047619044,0.36028947101026265,-0.7264980202822299,-0.6092308656185389,0.7264980202822299,0.6092308656185389,0.5074932449830942
A Nehra,2012,12,392,288,99,56,13,8.166666666666668,24.0,34.375,1.1714183230090187,-0.12041304425089058,0.048891594329494525,0.12041304425089058,-0.048891594329494525,0.6730702517808034
A Nehra,2013,13,307,216,84,46,10,8.527777777777779,16.615384615384617,38.88888888888889,1.1526230755355653,0.42823948073132556,-0.5025792725370932,-0.42823948073132556,0.5025792725370932,0.5808577382057272
A Nehra,2014,8,139,90,30,22,4,9.266666666666667,11.25,33.33333333333333,0.5986450880842081,0.42531275859332324,-0.867908480808092,-0.42531275859332324,0.867908480808092,0.33184724298953133
A Nehra,2015,24,436,372,170,61,16,7.03225806451613,15.5,45.69892473118279,2.9799783865924527,-0.7203188421529051,-0.5474069408035143,0.7203188421529051,0.5474069408035143,1.937194806392248
A Nehra,2016,11,192,156,72,30,8,7.384615384615385,14.181818181818182,46.15384615384615,1.1498510477363206,-0.4526217698875131,-0.6294928796735378,0.4526217698875131,0.6294928796735378,0.862628539172261
A Nehra,2017,10,192,127,47,32,6,9.070866141732283,12.7,37.00787401574803,0.9078852682539774,0.13675398468309333,-0.8032800351505117,-0.13675398468309333,0.8032800351505117,0.5788027074073364
A Nel,2008,1,31,18,7,5,1,10.333333333333334,18.0,38.88888888888889,-0.5550319084617491,0.6811246539081306,-0.32506885010582026,-0.6811246539081306,0.32506885010582026,-0.4608446183105281
A Nortje,2020,23,502,366,149,77,16,8.229508196721312,15.91304347826087,40.7103825136612,2.7444706877647627,-0.13427818941440695,-0.7593064607399973,0.13427818941440695,0.7593064607399973,1.663638304205941
A Nortje,2021,12,174,182,79,19,8,5.736263736263736,15.166666666666666,43.40659340659341,1.189909160101155,-1.4625323691788255,-0.632876257213852,1.4625323691788255,0.632876257213852,1.1881411873913608
A Nortje,2022,9,200,134,47,30,6,8.955223880597016,14.88888888888889,35.07462686567165,0.6322649072632318,-0.04039066202569526,-0.6664925398295116,0.04039066202569526,0.6664925398295116,0.45983677857691285
A Nortje,2023,11,347,240,90,49,10,8.675,21.818181818181817,37.5,1.0344208542345288,-0.1125378598471901,-0.101905217283152,0.1125378598471901,0.101905217283152,0.6179786103756207
A Nortje,2024,7,280,132,36,46,6,12.727272727272727,18.857142857142858,27.27272727272727,0.4421259263157035,0.8076814051136272,-0.3147707171172694,-0.8076814051136272,0.3147707171172694,0.04808044550713921
A Nortje,2025,1,76,42,14,15,2,10.857142857142858,42.0,33.33333333333333,-0.5322624547576336,0.2018819855931143,1.3476717200231731,-0.2018819855931143,-1.3476717200231731,-0.5554597037981087
A Raghuvanshi,2024,0,0,0,0,0,7,,,0.0,-0.6654600843005194,,,,,
A Raghuvanshi,2025,0,0,0,0,0,11,,,0.0,-0.6918613917164442,,,,,
A Singh,2009,9,92,105,56,11,5,5.257142857142857,11.666666666666666,53.333333333333336,0.8345953094019699,-1.0764653554875125,-0.7282310385103177,1.0764653554875125,0.7282310385103177,0.891201682593885
A Singh,2011,10,211,171,75,33,9,7.4035087719298245,17.1,43.859649122807014,1.0144338923251253,-0.30995170576745107,-0.4773388392426554,0.30995170576745107,0.4773388392426554,0.7225249783954525
A Singh,2012,12,299,197,58,40,9,9.106598984771573,16.416666666666668,29.441624365482234,1.1714183230090187,0.23993223858340573,-0.5055930240798958,-0.23993223858340573,0.5055930240798958,0.6481393596919229
A Symonds,2008,0,94,41,9,15,3,13.756097560975608,,21.951219512195124,-0.7229054535541496,1.969995965418416,,-1.969995965418416,,
A Symonds,2009,9,156,144,65,17,8,6.5,16.0,45.13888888888889,0.8345953094019699,-0.48854254735430674,-0.42729986426706856,0.48854254735430674,0.42729986426706856,0.6696851640174358
A Symonds,2010,13,365,318,106,38,16,6.886792452830189,24.46153846153846,33.33333333333333,1.6391639955877675,-0.6801905380456745,0.2679700380902863,0.6801905380456745,-0.2679700380902863,1.0654018532734315
A Symonds,2011,1,41,24,10,7,9,10.25,24.0,41.66666666666667,-0.5306269590623732,0.6170612628577802,0.1766157995229074,-0.6170612628577802,-0.1766157995229074,-0.5034555762700754
A Tomar,2022,0,0,0,0,0,1,,,0.0,-0.7124776193787166,,,,,
A Uniyal,2010,3,64,36,8,9,2,10.666666666666666,12.0,22.22222222222222,-0.1877996109515251,1.0515034865693254,-0.7769310383864027,-1.0515034865693254,0.7769310383864027,-0.30220117623617604
A Zampa,2016,12,110,102,32,9,5,6.470588235294118,8.5,31.372549019607842,1.3188524110315194,-0.9648876237300869,-0.9129433688863601,0.9648876237300869,0.9129433688863601,1.1517766185193157
A Zampa,2017,7,160,119,38,17,6,8.067226890756302,17.0,31.932773109243694,0.4198842282070467,-0.3335836026360321,-0.45237136173165376,0.3335836026360321,0.45237136173165376,0.39886711056443336
A Zampa,2020,2,91,66,20,9,3,8.272727272727273,33.0,30.303030303030305,-0.37199746885347906,-0.11010852535408167,0.47255040916679714,0.11010852535408167,-0.47255040916679714,-0.24244861163820858
A Zampa,2023,9,186,132,39,23,6,8.454545454545455,14.666666666666666,29.545454545454547,0.723126457495844,-0.22045981652339963,-0.6153887743888684,0.22045981652339963,0.6153887743888684,0.5561658127380644
