feature_name,correlation_with_target
first_innings_runs,-0.427602709118804
target_runs,-0.4219283148952708
required_run_rate,-0.42192831489527066
batting_strength_diff,0.2852412144527982
first_innings_wickets,0.2748676109795679
bowling_strength_diff,0.2691295235820745
defending_batting_strength,-0.2073805032101759
chasing_batting_strength,0.1991496655232733
defending_bowling_strength,-0.19831108487427762
chasing_bowling_strength,0.1893663750233894
overall_strength_diff,0.18003970121001503
defending_overall_strength,-0.15434514549325362
chasing_overall_strength,0.10477001852956767
venue_encoded,0.03187202438157778
toss_winner_encoded,0.03030388332348305
defending_allrounder_strength,-0.023936641552280587
chasing_allrounder_strength,-0.02277814255977353
defending_team_encoded,0.018959208439103734
toss_decision_encoded,0.018190862167876982
chasing_team_encoded,-0.005733495549066671
allrounder_strength_diff,0.00042371126643271
