Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage
Dhruv Jurel,2025,0,0,0,0,0,13,,,0.0
E Lewis,2018,0,0,0,0,0,13,,,0.0
E Lewis,2019,0,0,0,0,0,3,,,0.0
E Lewis,2021,0,0,0,0,0,5,,,0.0
E Lewis,2022,0,0,0,0,0,5,,,0.0
E Malinga,2025,14,233,160,53,34,7,8.7375,11.428571428571429,33.125
EJG Morgan,2010,0,0,0,0,0,4,,,0.0
EJG Morgan,2011,0,0,0,0,0,9,,,0.0
EJG Morgan,2013,0,0,0,0,0,13,,,0.0
EJG Morgan,2015,0,0,0,0,0,9,,,0.0
EJG Morgan,2016,0,0,0,0,0,6,,,0.0
EJG Morgan,2017,0,0,0,0,0,4,,,0.0
EJG Morgan,2020,0,0,0,0,0,14,,,0.0
EJG Morgan,2021,0,0,0,0,0,15,,,0.0
ER Dwivedi,2016,0,0,0,0,0,2,,,0.0
F Behardien,2016,0,0,0,0,0,3,,,0.0
F du Plessis,2012,0,16,6,0,2,12,16.0,,0.0
F du Plessis,2014,0,0,0,0,0,12,,,0.0
F du Plessis,2015,0,0,0,0,0,15,,,0.0
F du Plessis,2016,0,0,0,0,0,6,,,0.0
F du Plessis,2017,0,0,0,0,0,1,,,0.0
F du Plessis,2018,0,0,0,0,0,6,,,0.0
F du Plessis,2019,0,0,0,0,0,12,,,0.0
F du Plessis,2020,0,0,0,0,0,13,,,0.0
F du Plessis,2021,0,0,0,0,0,16,,,0.0
F du Plessis,2022,0,0,0,0,0,16,,,0.0
F du Plessis,2023,0,0,0,0,0,14,,,0.0
F du Plessis,2024,0,0,0,0,0,15,,,0.0
F du Plessis,2025,0,0,0,0,0,9,,,0.0
FA Allen,2021,1,89,66,20,11,4,8.09090909090909,66.0,30.303030303030305
FA Allen,2022,1,46,24,6,7,1,11.5,24.0,25.0
FH Edwards,2009,6,140,140,70,21,6,6.0,23.333333333333332,50.0
FY Fazal,2010,1,20,12,1,2,10,10.0,12.0,8.333333333333332
FY Fazal,2011,0,0,0,0,0,2,,,0.0
Fazalhaq Farooqi,2022,2,106,72,24,14,3,8.833333333333334,36.0,33.33333333333333
Fazalhaq Farooqi,2023,4,111,80,32,18,4,8.325,20.0,40.0
Fazalhaq Farooqi,2025,0,208,102,24,35,5,12.235294117647058,,23.52941176470588
G Coetzee,2024,13,318,201,71,50,10,9.492537313432836,15.461538461538462,35.32338308457712
G Coetzee,2025,2,127,72,19,17,4,10.583333333333332,36.0,26.38888888888889
G Gambhir,2008,0,0,0,0,0,14,,,0.0
G Gambhir,2009,0,0,0,0,0,15,,,0.0
G Gambhir,2010,0,0,0,0,0,10,,,0.0
G Gambhir,2011,0,0,0,0,0,15,,,0.0
G Gambhir,2012,0,0,0,0,0,17,,,0.0
G Gambhir,2013,0,0,0,0,0,15,,,0.0
G Gambhir,2014,0,0,0,0,0,16,,,0.0
G Gambhir,2015,0,0,0,0,0,13,,,0.0
G Gambhir,2016,0,0,0,0,0,15,,,0.0
G Gambhir,2017,0,0,0,0,0,16,,,0.0
G Gambhir,2018,0,0,0,0,0,5,,,0.0
GB Hogg,2012,10,241,216,73,22,9,6.694444444444445,21.6,33.7962962962963
GB Hogg,2013,0,29,20,5,3,1,8.7,,25.0
GB Hogg,2015,10,142,126,50,17,6,6.761904761904762,12.6,39.682539682539684
GB Hogg,2016,5,136,96,31,18,5,8.5,19.2,32.29166666666667
GC Smith,2008,0,0,0,0,0,11,,,0.0
GC Smith,2009,0,0,0,0,0,12,,,0.0
GC Smith,2010,0,0,0,0,0,2,,,0.0
GC Smith,2011,0,0,0,0,0,4,,,0.0
GC Viljoen,2019,8,210,138,43,31,6,9.130434782608695,17.25,31.15942028985507
GD McGrath,2008,14,351,324,153,52,14,6.5,23.142857142857142,47.22222222222222
GD Phillips,2021,1,19,12,4,3,3,9.5,12.0,33.33333333333333
GD Phillips,2023,1,20,18,6,2,5,6.666666666666667,18.0,33.33333333333333
GH Vihari,2013,1,37,36,17,5,17,6.166666666666666,36.0,47.22222222222222
GH Vihari,2015,0,0,0,0,0,4,,,0.0
GH Vihari,2019,0,9,6,0,1,2,9.0,,0.0
GHS Garton,2021,3,127,90,31,17,5,8.466666666666667,30.0,34.44444444444444
GJ Bailey,2009,0,0,0,0,0,2,,,0.0
GJ Bailey,2010,0,0,0,0,0,1,,,0.0
GJ Bailey,2014,0,0,0,0,0,16,,,0.0
GJ Bailey,2015,0,0,0,0,0,12,,,0.0
GJ Bailey,2016,0,0,0,0,0,5,,,0.0
GJ Maxwell,2012,2,21,18,6,2,2,7.0,9.0,33.33333333333333
GJ Maxwell,2013,0,23,12,2,3,3,11.5,,16.666666666666664
GJ Maxwell,2014,1,127,66,14,17,16,11.545454545454547,66.0,21.21212121212121
GJ Maxwell,2015,2,93,60,19,12,11,9.3,30.0,31.666666666666664
GJ Maxwell,2016,0,78,54,16,11,11,8.666666666666666,,29.629629629629626
GJ Maxwell,2017,7,124,114,38,11,14,6.526315789473685,16.285714285714285,33.33333333333333
GJ Maxwell,2018,5,130,96,32,15,12,8.125,19.2,33.33333333333333
GJ Maxwell,2020,3,169,126,35,18,13,8.047619047619047,42.0,27.77777777777778
GJ Maxwell,2021,3,132,96,25,14,14,8.25,32.0,26.041666666666668
GJ Maxwell,2022,8,163,144,62,17,13,6.791666666666666,18.0,43.05555555555556
GJ Maxwell,2023,3,92,62,18,11,14,8.903225806451612,20.666666666666668,29.03225806451613
GJ Maxwell,2024,7,123,96,34,14,10,7.6875,13.714285714285714,35.41666666666667
GJ Maxwell,2025,4,106,78,27,14,7,8.153846153846153,19.5,34.61538461538461
GR Napier,2009,1,27,24,8,3,1,6.75,24.0,33.33333333333333
GS Sandhu,2015,1,82,48,9,10,2,10.25,48.0,18.75
Gagandeep Singh,2008,3,141,84,25,20,4,10.071428571428571,28.0,29.761904761904763
Gulbadin Naib,2024,0,12,6,1,2,2,12.0,,16.666666666666664
Gurkeerat Singh,2012,0,0,0,0,0,4,,,0.0
Gurkeerat Singh,2013,0,0,0,0,0,9,,,0.0
Gurkeerat Singh,2015,3,64,54,19,7,5,7.111111111111111,18.0,35.18518518518518
Gurkeerat Singh,2016,2,29,24,7,2,6,7.25,12.0,29.166666666666668
Gurkeerat Singh,2019,0,0,0,0,0,3,,,0.0
Gurkeerat Singh,2020,0,0,0,0,0,5,,,0.0
Gurnoor Brar,2023,0,38,18,7,7,1,12.666666666666668,,38.88888888888889
H Das,2008,0,0,0,0,0,1,,,0.0
H Klaasen,2018,0,0,0,0,0,4,,,0.0
H Klaasen,2019,0,0,0,0,0,2,,,0.0
H Klaasen,2023,0,0,0,0,0,11,,,0.0
H Klaasen,2024,0,0,0,0,0,15,,,0.0
H Klaasen,2025,0,0,0,0,0,13,,,0.0
H Sharma,2023,0,28,18,2,4,1,9.333333333333334,,11.11111111111111
H Sharma,2024,0,29,12,0,4,1,14.5,,0.0
HC Brook,2023,0,0,0,0,0,11,,,0.0
HE van der Dussen,2022,0,0,0,0,0,3,,,0.0
HF Gurney,2019,7,230,162,50,30,8,8.518518518518519,23.142857142857142,30.864197530864196
HH Gibbs,2008,0,0,0,0,0,9,,,0.0
HH Gibbs,2009,0,0,0,0,0,14,,,0.0
HH Gibbs,2010,0,0,0,0,0,10,,,0.0
HH Gibbs,2012,0,0,0,0,0,3,,,0.0
HH Pandya,2015,1,171,102,29,27,9,10.058823529411764,102.0,28.431372549019606
HH Pandya,2016,3,147,100,29,18,11,8.82,33.333333333333336,28.999999999999996
HH Pandya,2017,6,207,156,45,25,17,7.961538461538462,26.0,28.846153846153843
HH Pandya,2018,19,361,256,94,53,13,8.4609375,13.473684210526315,36.71875
HH Pandya,2019,16,375,255,90,51,16,8.823529411764707,15.9375,35.294117647058826
HH Pandya,2020,0,0,0,0,0,13,,,0.0
HH Pandya,2021,0,0,0,0,0,11,,,0.0
HH Pandya,2022,8,216,183,72,27,15,7.081967213114754,22.875,39.34426229508197
HH Pandya,2023,3,222,150,59,37,15,8.879999999999999,50.0,39.33333333333333
HH Pandya,2024,13,377,216,63,54,14,10.472222222222223,16.615384615384617,29.166666666666668
HH Pandya,2025,14,323,210,64,45,15,9.22857142857143,15.0,30.476190476190478
HM Amla,2016,0,0,0,0,0,6,,,0.0
HM Amla,2017,0,0,0,0,0,10,,,0.0
HR Shokeen,2022,2,123,90,41,17,5,8.2,45.0,45.55555555555556
HR Shokeen,2023,3,176,114,37,23,8,9.263157894736842,38.0,32.45614035087719
HV Patel,2012,9,337,246,78,44,11,8.21951219512195,27.333333333333332,31.70731707317073
HV Patel,2014,4,107,66,22,16,3,9.727272727272727,16.5,33.33333333333333
HV Patel,2015,19,319,263,103,43,15,7.277566539923955,13.842105263157896,39.163498098859314
HV Patel,2016,2,137,84,28,20,5,9.785714285714285,42.0,33.33333333333333
HV Patel,2017,3,42,24,8,8,1,10.5,8.0,33.33333333333333
HV Patel,2018,7,160,105,34,23,5,9.142857142857142,15.0,32.38095238095238
HV Patel,2019,3,69,48,15,9,2,8.625,16.0,31.25
HV Patel,2020,3,125,90,22,14,5,8.333333333333332,30.0,24.444444444444443
HV Patel,2021,35,424,338,120,51,15,7.526627218934911,9.657142857142857,35.50295857988166
HV Patel,2022,21,385,321,123,46,15,7.196261682242991,15.285714285714286,38.31775700934579
HV Patel,2023,15,423,282,77,56,13,9.0,18.8,27.30496453900709
HV Patel,2024,30,444,294,80,58,14,9.061224489795919,9.8,27.2108843537415
HV Patel,2025,17,387,263,82,55,13,8.828897338403042,15.470588235294118,31.1787072243346
Harbhajan Singh,2008,6,79,60,16,9,3,7.9,10.0,26.666666666666668
Harbhajan Singh,2009,12,252,264,103,25,13,5.7272727272727275,22.0,39.015151515151516
Harbhajan Singh,2010,18,360,321,102,33,15,6.728971962616821,17.833333333333332,31.775700934579437
Harbhajan Singh,2011,15,358,318,127,43,15,6.754716981132075,21.2,39.937106918238996
Harbhajan Singh,2012,6,367,324,117,40,17,6.796296296296296,54.0,36.11111111111111
Harbhajan Singh,2013,25,439,420,163,44,19,6.271428571428572,16.8,38.80952380952381
Harbhajan Singh,2014,14,350,330,138,37,14,6.363636363636363,23.571428571428573,41.81818181818181
Harbhajan Singh,2015,19,436,342,117,52,15,7.6491228070175445,18.0,34.21052631578947
Harbhajan Singh,2016,9,386,294,83,44,14,7.877551020408163,32.666666666666664,28.2312925170068
Harbhajan Singh,2017,8,265,246,96,30,11,6.463414634146341,30.75,39.02439024390244
Harbhajan Singh,2018,7,268,191,68,38,13,8.418848167539267,27.285714285714285,35.602094240837694
Harbhajan Singh,2019,18,305,264,114,36,11,6.931818181818182,14.666666666666666,43.18181818181818
Harbhajan Singh,2021,0,60,42,19,10,3,8.571428571428571,,45.23809523809524
Harmeet Singh,2009,4,187,137,46,25,7,8.18978102189781,34.25,33.57664233576642
Harmeet Singh,2010,10,163,144,59,21,8,6.791666666666666,14.4,40.97222222222222
Harmeet Singh,2011,3,47,42,17,6,2,6.714285714285714,14.0,40.476190476190474
Harmeet Singh,2012,7,179,134,40,22,7,8.014925373134329,19.142857142857142,29.850746268656714
Harmeet Singh,2013,7,117,92,39,16,4,7.630434782608696,13.142857142857142,42.391304347826086
Harpreet Brar,2019,0,48,30,7,6,2,9.600000000000001,,23.333333333333332
Harpreet Brar,2020,0,40,24,6,6,1,10.0,,25.0
Harpreet Brar,2021,5,134,138,54,9,7,5.826086956521739,27.6,39.130434782608695
Harpreet Brar,2022,4,141,96,36,19,5,8.8125,24.0,37.5
Harpreet Brar,2023,9,215,163,57,28,11,7.914110429447852,18.11111111111111,34.96932515337423
Harpreet Brar,2024,7,297,228,69,31,13,7.815789473684211,32.57142857142857,30.263157894736842
Harpreet Brar,2025,10,182,132,40,23,7,8.272727272727273,13.2,30.303030303030305
Harpreet Singh,2011,0,0,0,0,0,2,,,0.0
Harpreet Singh,2012,0,0,0,0,0,1,,,0.0
Harpreet Singh,2023,0,0,0,0,0,3,,,0.0
Harpreet Singh,2024,0,0,0,0,0,2,,,0.0
Harsh Dubey,2025,5,97,60,18,12,3,9.7,12.0,30.0
Harshit Rana,2022,1,44,30,11,7,2,8.799999999999999,30.0,36.666666666666664
Harshit Rana,2023,6,140,102,44,24,6,8.235294117647058,17.0,43.13725490196079
Harshit Rana,2024,20,372,253,93,52,11,8.822134387351777,12.65,36.75889328063241
Harshit Rana,2025,15,433,264,99,71,13,9.84090909090909,17.6,37.5
I Malhotra,2011,0,23,6,0,4,1,23.0,,0.0
I Sharma,2008,7,300,253,110,48,13,7.1146245059288535,36.142857142857146,43.47826086956522
I Sharma,2009,11,274,258,130,39,11,6.372093023255815,23.454545454545453,50.3875968992248
I Sharma,2010,7,225,150,54,36,7,9.0,21.428571428571427,36.0
I Sharma,2011,11,301,264,121,46,12,6.840909090909091,24.0,45.83333333333333
I Sharma,2013,16,443,358,160,63,16,7.424581005586592,22.375,44.6927374301676
I Sharma,2014,3,99,66,26,13,3,9.0,22.0,39.39393939393939
I Sharma,2015,1,150,84,30,25,4,10.714285714285715,84.0,35.714285714285715
I Sharma,2016,3,135,90,37,25,4,9.0,30.0,41.11111111111111
I Sharma,2017,0,172,108,32,26,6,9.555555555555555,,29.629629629629626
I Sharma,2019,14,337,276,113,52,13,7.32608695652174,19.714285714285715,40.94202898550724
I Sharma,2020,0,24,18,4,1,1,8.0,,22.22222222222222
I Sharma,2021,1,97,72,25,12,3,8.083333333333334,72.0,34.72222222222222
I Sharma,2023,10,191,150,65,32,8,7.640000000000001,15.0,43.333333333333336
I Sharma,2024,12,240,162,62,38,9,8.88888888888889,13.5,38.2716049382716
I Sharma,2025,4,198,110,30,32,7,10.8,27.5,27.27272727272727
I Udana,2020,8,274,174,45,37,10,9.448275862068964,21.75,25.862068965517242
IC Pandey,2013,1,45,24,7,9,2,11.25,24.0,29.166666666666668
IC Pandey,2014,7,315,252,112,49,12,7.5,36.0,44.44444444444444
IC Pandey,2015,11,220,186,93,35,10,7.096774193548388,16.90909090909091,50.0
IC Porel,2021,1,37,24,7,7,1,9.25,24.0,29.166666666666668
IK Pathan,2008,20,331,318,150,45,14,6.245283018867925,15.9,47.16981132075472
IK Pathan,2009,20,378,302,121,52,14,7.509933774834437,15.1,40.06622516556291
IK Pathan,2010,17,414,278,98,65,14,8.93525179856115,16.352941176470587,35.25179856115108
IK Pathan,2011,13,321,275,124,49,13,7.003636363636364,21.153846153846153,45.09090909090909
IK Pathan,2012,10,459,360,145,70,17,7.6499999999999995,36.0,40.27777777777778
IK Pathan,2013,11,374,308,134,57,15,7.285714285714285,28.0,43.506493506493506
IK Pathan,2014,6,203,142,41,26,10,8.577464788732396,23.666666666666668,28.87323943661972
IK Pathan,2016,0,61,48,18,7,4,7.625,,37.5
IK Pathan,2017,2,26,12,4,4,1,13.0,6.0,33.33333333333333
IR Jaggi,2011,0,0,0,0,0,2,,,0.0
IR Jaggi,2012,0,0,0,0,0,3,,,0.0
IR Jaggi,2017,0,0,0,0,0,2,,,0.0
IS Sodhi,2018,5,135,138,49,10,6,5.869565217391305,27.6,35.507246376811594
IS Sodhi,2019,4,66,43,15,7,2,9.209302325581396,10.75,34.883720930232556
Imran Tahir,2014,11,164,125,38,19,6,7.872,11.363636363636363,30.4
Imran Tahir,2015,15,297,213,64,31,10,8.366197183098592,14.2,30.046948356807512
Imran Tahir,2016,5,137,96,25,15,4,8.5625,19.2,26.041666666666668
Imran Tahir,2017,19,358,282,94,39,12,7.617021276595745,14.842105263157896,33.33333333333333
Imran Tahir,2018,6,186,124,38,23,6,9.0,20.666666666666668,30.64516129032258
Imran Tahir,2019,26,426,386,146,45,17,6.621761658031088,14.846153846153847,37.82383419689119
Imran Tahir,2020,1,76,66,18,6,3,6.90909090909091,66.0,27.27272727272727
Imran Tahir,2021,3,14,24,14,1,1,3.5,8.0,58.333333333333336
Iqbal Abdulla,2008,1,22,18,6,3,1,7.333333333333334,18.0,33.33333333333333
Iqbal Abdulla,2010,2,61,51,18,7,3,7.1764705882352935,25.5,35.294117647058826
Iqbal Abdulla,2011,18,300,300,131,37,15,6.0,16.666666666666668,43.666666666666664
Iqbal Abdulla,2012,4,140,132,46,13,8,6.363636363636363,33.0,34.84848484848485
Iqbal Abdulla,2013,7,142,113,41,16,5,7.539823008849558,16.142857142857142,36.283185840707965
Iqbal Abdulla,2014,0,17,12,2,2,1,8.5,,16.666666666666664
Iqbal Abdulla,2015,4,142,114,46,18,5,7.473684210526317,28.5,40.35087719298245
Iqbal Abdulla,2016,7,208,150,35,24,8,8.32,21.428571428571427,23.333333333333332
Iqbal Abdulla,2017,2,51,30,6,6,2,10.2,15.0,20.0
Ishan Kishan,2016,0,0,0,0,0,5,,,0.0
Ishan Kishan,2017,0,0,0,0,0,10,,,0.0
Ishan Kishan,2018,0,0,0,0,0,12,,,0.0
Ishan Kishan,2019,0,0,0,0,0,6,,,0.0
Ishan Kishan,2020,0,0,0,0,0,13,,,0.0
Ishan Kishan,2021,0,0,0,0,0,10,,,0.0
Ishan Kishan,2022,0,0,0,0,0,14,,,0.0
Ishan Kishan,2023,0,0,0,0,0,15,,,0.0
Ishan Kishan,2024,0,0,0,0,0,14,,,0.0
Ishan Kishan,2025,0,4,1,0,1,13,24.0,,0.0
J Arunkumar,2008,0,0,0,0,0,3,,,0.0
J Botha,2009,5,67,72,30,6,3,5.583333333333334,14.4,41.66666666666667
J Botha,2011,7,236,216,81,25,10,6.555555555555555,30.857142857142858,37.5
J Botha,2012,9,292,246,87,34,11,7.121951219512195,27.333333333333332,35.36585365853659
J Botha,2013,5,107,100,37,11,6,6.42,20.0,37.0
J Botha,2015,1,79,60,19,9,4,7.9,60.0,31.666666666666664
J Fraser-McGurk,2024,0,0,0,0,0,9,,,0.0
J Fraser-McGurk,2025,0,0,0,0,0,6,,,0.0
J Little,2023,9,287,204,73,38,10,8.441176470588236,22.666666666666668,35.78431372549019
J Little,2024,4,44,24,9,8,1,11.0,6.0,37.5
J Overton,2025,0,78,36,9,11,3,13.0,,25.0
J Suchith,2015,10,330,234,70,40,12,8.461538461538462,23.4,29.914529914529915
J Suchith,2016,0,29,12,0,3,1,14.5,,0.0
J Suchith,2019,2,28,24,11,4,1,7.0,12.0,45.83333333333333
J Suchith,2021,1,66,42,11,10,2,9.428571428571429,42.0,26.190476190476193
J Suchith,2022,7,132,108,48,16,5,7.333333333333334,15.428571428571429,44.44444444444444
J Syed Mohammad,2011,5,126,90,29,14,5,8.399999999999999,18.0,32.22222222222222
J Syed Mohammad,2012,1,64,42,8,6,2,9.142857142857142,42.0,19.047619047619047
J Syed Mohammad,2013,4,89,60,10,10,4,8.9,15.0,16.666666666666664
J Theron,2010,9,187,149,46,24,7,7.530201342281879,16.555555555555557,30.87248322147651
J Theron,2012,3,57,48,18,7,2,7.125,16.0,37.5
J Theron,2015,1,38,24,4,5,1,9.5,24.0,16.666666666666664
J Yadav,2015,2,29,42,21,2,3,4.142857142857142,21.0,50.0
J Yadav,2016,2,123,102,38,15,5,7.235294117647058,51.0,37.254901960784316
J Yadav,2017,0,40,36,13,4,2,6.666666666666667,,36.11111111111111
J Yadav,2019,1,49,42,17,5,2,7.0,42.0,40.476190476190474
J Yadav,2020,1,43,42,13,2,2,6.142857142857142,42.0,30.952380952380953
J Yadav,2021,3,126,102,43,16,5,7.411764705882353,34.0,42.15686274509804
J Yadav,2023,0,26,24,8,2,1,6.5,,33.33333333333333
JA Morkel,2008,20,370,288,100,49,13,7.708333333333334,14.4,34.72222222222222
JA Morkel,2009,15,309,240,99,43,12,7.7250000000000005,16.0,41.25
JA Morkel,2010,14,392,286,97,56,14,8.223776223776223,20.428571428571427,33.91608391608392
JA Morkel,2011,16,371,270,102,53,15,8.244444444444444,16.875,37.77777777777778
JA Morkel,2012,13,367,297,118,53,15,7.414141414141414,22.846153846153847,39.73063973063973
JA Morkel,2013,8,153,144,59,20,8,6.375,18.0,40.97222222222222
JA Morkel,2014,4,117,96,40,19,7,7.3125,24.0,41.66666666666667
JA Morkel,2015,3,107,72,22,15,4,8.916666666666668,24.0,30.555555555555557
JA Morkel,2016,3,61,30,9,11,2,12.2,10.0,30.0
JA Richardson,2021,3,114,66,22,17,3,10.363636363636363,22.0,33.33333333333333
JA Richardson,2024,0,38,24,8,5,1,9.5,,33.33333333333333
JC Archer,2018,15,309,233,93,43,10,7.957081545064377,15.533333333333333,39.91416309012876
JC Archer,2019,12,284,258,113,35,11,6.604651162790697,21.5,43.798449612403104
JC Archer,2020,20,353,334,171,47,14,6.341317365269461,16.7,51.19760479041916
JC Archer,2023,2,170,120,43,24,5,8.5,60.0,35.833333333333336
JC Archer,2025,12,408,273,103,64,12,8.967032967032967,22.75,37.72893772893773
JC Buttler,2016,0,0,0,0,0,14,,,0.0
JC Buttler,2017,0,0,0,0,0,10,,,0.0
JC Buttler,2018,0,0,0,0,0,13,,,0.0
JC Buttler,2019,0,0,0,0,0,8,,,0.0
JC Buttler,2020,0,0,0,0,0,12,,,0.0
JC Buttler,2021,0,0,0,0,0,7,,,0.0
JC Buttler,2022,0,0,0,0,0,17,,,0.0
JC Buttler,2023,0,0,0,0,0,14,,,0.0
JC Buttler,2024,0,0,0,0,0,11,,,0.0
JC Buttler,2025,0,0,0,0,0,13,,,0.0
JD Ryder,2009,5,113,102,40,12,5,6.647058823529412,20.4,39.21568627450981
JD Ryder,2011,5,116,92,29,13,13,7.565217391304348,18.4,31.521739130434785
JD Ryder,2012,1,68,42,10,9,11,9.714285714285715,42.0,23.809523809523807
JD Unadkat,2010,4,85,62,20,12,3,8.225806451612902,15.5,32.25806451612903
JD Unadkat,2011,6,147,108,40,19,6,8.166666666666668,18.0,37.03703703703704
JD Unadkat,2012,0,32,18,2,3,1,10.666666666666666,,11.11111111111111
JD Unadkat,2013,13,365,294,102,47,13,7.448979591836734,22.615384615384617,34.69387755102041
JD Unadkat,2014,10,268,187,59,35,9,8.598930481283421,18.7,31.550802139037433
JD Unadkat,2015,0,30,18,7,4,1,10.0,,38.88888888888889
JD Unadkat,2016,0,48,18,5,8,1,16.0,,27.77777777777778
JD Unadkat,2017,27,318,275,119,40,12,6.938181818181818,10.185185185185185,43.27272727272727
JD Unadkat,2018,12,478,302,97,69,15,9.496688741721854,25.166666666666668,32.11920529801324
JD Unadkat,2019,11,386,224,55,51,11,10.339285714285715,20.363636363636363,24.553571428571427
JD Unadkat,2020,5,220,138,34,25,7,9.565217391304348,27.6,24.637681159420293
JD Unadkat,2021,4,166,132,52,23,6,7.545454545454545,33.0,39.39393939393939
JD Unadkat,2022,7,186,120,35,25,5,9.3,17.142857142857142,29.166666666666668
JD Unadkat,2023,1,84,48,15,12,3,10.5,48.0,31.25
JD Unadkat,2024,9,306,187,42,37,11,9.818181818181818,20.77777777777778,22.459893048128343
JD Unadkat,2025,12,172,143,52,23,7,7.216783216783217,11.916666666666666,36.36363636363637
JDP Oram,2008,6,145,96,32,22,4,9.0625,16.0,33.33333333333333
JDP Oram,2009,6,126,93,28,16,8,8.129032258064516,15.5,30.107526881720432
JDP Oram,2011,1,45,24,8,7,2,11.25,24.0,33.33333333333333
JDP Oram,2013,0,20,24,11,3,1,5.0,,45.83333333333333
JDS Neesham,2014,1,88,54,14,13,4,9.777777777777777,54.0,25.925925925925924
JDS Neesham,2020,2,145,90,25,20,5,9.666666666666668,45.0,27.77777777777778
JDS Neesham,2021,5,66,54,19,8,3,7.333333333333334,10.8,35.18518518518518
JDS Neesham,2022,0,29,18,5,5,2,9.666666666666668,,27.77777777777778
JE Root,2023,0,14,12,1,1,2,7.0,,8.333333333333332
JE Taylor,2011,6,152,117,48,19,5,7.794871794871796,19.5,41.02564102564102
JEC Franklin,2011,3,95,61,14,12,7,9.344262295081966,20.333333333333332,22.950819672131146
JEC Franklin,2012,6,119,90,25,15,12,7.933333333333334,15.0,27.77777777777778
JG Bethell,2025,0,0,0,0,0,2,,,0.0
JH Kallis,2008,4,302,206,55,42,11,8.79611650485437,51.5,26.699029126213592
JH Kallis,2009,7,330,276,111,46,15,7.173913043478261,39.42857142857143,40.21739130434783
JH Kallis,2010,15,464,342,118,62,16,8.140350877192983,22.8,34.50292397660819
JH Kallis,2011,9,164,144,54,19,15,6.833333333333333,16.0,37.5
JH Kallis,2012,16,391,324,112,52,17,7.2407407407407405,20.25,34.5679012345679
JH Kallis,2013,19,375,318,112,47,16,7.075471698113208,16.736842105263158,35.22012578616352
JH Kallis,2014,4,184,132,39,25,8,8.363636363636363,33.0,29.545454545454547
JJ Bumrah,2013,3,67,42,16,12,2,9.571428571428573,14.0,38.095238095238095
JJ Bumrah,2014,6,292,238,92,40,11,7.3613445378151265,39.666666666666664,38.655462184873954
JJ Bumrah,2015,3,175,90,24,25,4,11.666666666666666,30.0,26.666666666666668
JJ Bumrah,2016,18,395,312,108,46,14,7.596153846153846,17.333333333333332,34.61538461538461
JJ Bumrah,2017,23,422,362,124,44,16,6.9944751381215475,15.73913043478261,34.25414364640884
JJ Bumrah,2018,17,358,324,128,42,14,6.62962962962963,19.058823529411764,39.50617283950617
JJ Bumrah,2019,23,401,374,157,51,16,6.433155080213904,16.26086956521739,41.97860962566845
JJ Bumrah,2020,30,404,372,168,51,15,6.516129032258064,12.4,45.16129032258064
JJ Bumrah,2021,22,377,330,134,46,14,6.854545454545454,15.0,40.60606060606061
JJ Bumrah,2022,16,375,320,133,48,14,7.03125,20.0,41.5625
JJ Bumrah,2024,21,307,311,144,38,13,5.922829581993569,14.80952380952381,46.30225080385852
JJ Bumrah,2025,21,311,284,125,38,12,6.570422535211268,13.523809523809524,44.014084507042256
JJ Roy,2017,0,0,0,0,0,3,,,0.0
JJ Roy,2018,0,0,0,0,0,5,,,0.0
JJ Roy,2021,0,0,0,0,0,5,,,0.0
JJ Roy,2023,0,0,0,0,0,8,,,0.0
JJ van der Wath,2011,3,125,72,29,23,3,10.416666666666668,24.0,40.27777777777778
JL Denly,2019,0,0,0,0,0,1,,,0.0
JL Pattinson,2020,11,311,213,77,44,10,8.76056338028169,19.363636363636363,36.15023474178404
JM Bairstow,2019,0,0,0,0,0,10,,,0.0
JM Bairstow,2020,0,0,0,0,0,11,,,0.0
JM Bairstow,2021,0,0,0,0,0,7,,,0.0
JM Bairstow,2022,0,0,0,0,0,11,,,0.0
JM Bairstow,2024,0,0,0,0,0,11,,,0.0
JM Bairstow,2025,0,0,0,0,0,2,,,0.0
JM Kemp,2010,3,51,44,15,7,5,6.954545454545455,14.666666666666666,34.090909090909086
JM Sharma,2022,0,0,0,0,0,10,,,0.0
JM Sharma,2023,0,0,0,0,0,14,,,0.0
JM Sharma,2024,0,0,0,0,0,12,,,0.0
JM Sharma,2025,0,0,0,0,0,11,,,0.0
JO Holder,2013,4,163,120,47,23,6,8.15,30.0,39.166666666666664
JO Holder,2014,1,23,18,6,2,1,7.666666666666666,18.0,33.33333333333333
JO Holder,2016,3,98,78,27,13,4,7.538461538461538,26.0,34.61538461538461
JO Holder,2020,15,225,168,55,29,7,8.035714285714285,11.2,32.73809523809524
JO Holder,2021,16,231,191,74,29,8,7.2565445026178015,11.9375,38.7434554973822
JO Holder,2022,16,374,249,72,48,12,9.012048192771084,15.5625,28.915662650602407
JO Holder,2023,4,279,171,40,40,8,9.789473684210526,42.75,23.391812865497073
JP Behrendorff,2019,5,162,114,51,27,5,8.526315789473685,22.8,44.73684210526316
JP Behrendorff,2023,17,373,252,88,54,12,8.880952380952381,14.823529411764707,34.92063492063492
JP Duminy,2009,4,86,105,44,6,13,4.914285714285715,26.25,41.904761904761905
JP Duminy,2010,1,37,33,13,5,7,6.727272727272727,33.0,39.39393939393939
